"count" "condition" "gene" "sample"
38.8222973814057 "control" "LOC117680673" "T55"
33.1648944677775 "control" "LOC117680673" "T56"
65.5232116297937 "control" "LOC117680673" "T57"
137.796639632145 "control" "LOC117680673" "T58"
101.986399149489 "control" "LOC117680673" "T59"
75.8046745891577 "control" "LOC117680673" "T60"
42.856256809092 "control" "LOC117680673" "T61"
14.8684851175598 "control" "LOC117680673" "T62"
18.5779345976639 "control" "LOC117680673" "X45"
16.2480882866949 "control" "LOC117680673" "X46"
89.5893802550114 "control" "LOC117680673" "X47"
51.8944751340883 "control" "LOC117680673" "X48"
13066.2505173381 "desiccation" "LOC117680673" "R51"
209.775742495281 "desiccation" "LOC117680673" "R52"
845.159678142204 "desiccation" "LOC117680673" "R53"
1237.07571418907 "desiccation" "LOC117680673" "R54"
6721.42082200255 "desiccation" "LOC117680673" "R55"
181.747142614229 "desiccation" "LOC117680673" "R56"
41346.9798225045 "desiccation" "LOC117680673" "R57"
2299.17673915273 "desiccation" "LOC117680673" "R58"
22509.3084232668 "desiccation" "LOC117680673" "R59"
125513.116561812 "desiccation" "LOC117680673" "R60"
494.464879936034 "desiccation" "LOC117680673" "R61"
17993.8510128174 "desiccation" "LOC117680673" "R62"
47.5319104226343 "control" "LOC105334510" "T55"
38.7645906622537 "control" "LOC105334510" "T56"
70.5249971397779 "control" "LOC105334510" "T57"
126.139377776585 "control" "LOC105334510" "T58"
98.0323835982105 "control" "LOC105334510" "T59"
73.1152219252592 "control" "LOC105334510" "T60"
33.0235543355528 "control" "LOC105334510" "T61"
18.4606063969498 "control" "LOC105334510" "T62"
20.4808750816285 "control" "LOC105334510" "X45"
20.7475420828935 "control" "LOC105334510" "X46"
84.118979713037 "control" "LOC105334510" "X47"
58.7470718186334 "control" "LOC105334510" "X48"
12399.4572423342 "desiccation" "LOC105334510" "R51"
201.586691701987 "desiccation" "LOC105334510" "R52"
807.258282328131 "desiccation" "LOC105334510" "R53"
1167.39705411708 "desiccation" "LOC105334510" "R54"
5987.25022187659 "desiccation" "LOC105334510" "R55"
188.87483923389 "desiccation" "LOC105334510" "R56"
