GO.ID,Term,Annotated,Significant,Expected,classic
GO:1990845,adaptive thermogenesis,14,8,0.04,0.000000000000000007
GO:0045599,negative regulation of fat cell differen...,95,10,0.26,0.000000000000121256
GO:0071605,monocyte chemotactic protein-1 productio...,26,7,0.07,0.000000000000590929
GO:0071637,regulation of monocyte chemotactic prote...,26,7,0.07,0.000000000000590929
GO:0030103,vasopressin secretion,8,5,0.02,0.000000000007863271
GO:0043622,cortical microtubule organization,8,5,0.02,0.000000000007863271
GO:0071639,positive regulation of monocyte chemotac...,8,5,0.02,0.000000000007863271
GO:0071642,positive regulation of macrophage inflam...,8,5,0.02,0.000000000007863271
GO:0097497,blood vessel endothelial cell delaminati...,8,5,0.02,0.000000000007863271
GO:1903444,negative regulation of brown fat cell di...,8,5,0.02,0.000000000007863271
GO:2000340,positive regulation of chemokine (C-X-C ...,8,5,0.02,0.000000000007863271
GO:0002024,diet induced thermogenesis,9,5,0.02,0.000000000017654154
GO:0060232,delamination,9,5,0.02,0.000000000017654154
GO:0071608,macrophage inflammatory protein-1 alpha ...,9,5,0.02,0.000000000017654154
GO:0071640,regulation of macrophage inflammatory pr...,9,5,0.02,0.000000000017654154
GO:0045444,fat cell differentiation,281,12,0.78,0.000000000018587831
GO:0007231,osmosensory signaling pathway,10,5,0.03,0.000000000035232065
GO:0031117,positive regulation of microtubule depol...,10,5,0.03,0.000000000035232065
GO:0045598,regulation of fat cell differentiation,173,10,0.48,0.000000000051279582
GO:0071651,positive regulation of chemokine (C-C mo...,11,5,0.03,0.000000000064452649
GO:0002021,response to dietary excess,13,5,0.04,0.000000000178772162
GO:0071649,regulation of chemokine (C-C motif) liga...,13,5,0.04,0.000000000178772162
GO:0010758,regulation of macrophage chemotaxis,14,5,0.04,0.000000000277489620
GO:0010759,positive regulation of macrophage chemot...,14,5,0.04,0.000000000277489620
GO:0048246,macrophage chemotaxis,14,5,0.04,0.000000000277489620
GO:0071477,cellular hypotonic salinity response,14,5,0.04,0.000000000277489620
GO:0071609,chemokine (C-C motif) ligand 5 productio...,14,5,0.04,0.000000000277489620
GO:1905517,macrophage migration,14,5,0.04,0.000000000277489620
GO:1905521,regulation of macrophage migration,14,5,0.04,0.000000000277489620
GO:1905523,positive regulation of macrophage migrat...,14,5,0.04,0.000000000277489620
GO:0072566,chemokine (C-X-C motif) ligand 1 product...,15,5,0.04,0.000000000415335789
GO:2000338,regulation of chemokine (C-X-C motif) li...,15,5,0.04,0.000000000415335789
GO:0032642,regulation of chemokine production,64,7,0.18,0.000000000513095468
GO:0050727,regulation of inflammatory response,292,11,0.81,0.000000000515384303
GO:0032602,chemokine production,65,7,0.18,0.000000000573751061
GO:0042538,hyperosmotic salinity response,16,5,0.04,0.000000000602820536
GO:0042539,hypotonic salinity response,16,5,0.04,0.000000000602820536
GO:0019442,tryptophan catabolic process to acetyl-C...,6,4,0.02,0.000000000804172211
GO:0070372,regulation of ERK1 and ERK2 cascade,305,11,0.84,0.000000000815365750
GO:0071476,cellular hypotonic response,17,5,0.05,0.000000000852152125
GO:0070371,ERK1 and ERK2 cascade,331,11,0.91,0.000000001921204598
GO:0071472,cellular response to salt stress,22,5,0.06,0.000000003587494257
GO:0043117,positive regulation of vascular permeabi...,26,5,0.07,0.000000008884129197
GO:0032722,positive regulation of chemokine product...,29,5,0.08,0.000000015935224735
GO:0090335,regulation of brown fat cell differentia...,29,5,0.08,0.000000015935224735
GO:0006971,hypotonic response,34,5,0.09,0.000000036936886314
GO:0006954,inflammatory response,556,12,1.53,0.000000041233539741
GO:0050873,brown fat cell differentiation,35,5,0.1,0.000000043000059771
GO:0071622,regulation of granulocyte chemotaxis,35,5,0.1,0.000000043000059771
GO:1902442,regulation of ripoptosome assembly invol...,16,4,0.04,0.000000095543814404
GO:1902443,negative regulation of ripoptosome assem...,16,4,0.04,0.000000095543814404
GO:1902523,positive regulation of protein K63-linke...,16,4,0.04,0.000000095543814404
GO:0006972,hyperosmotic response,41,5,0.11,0.000000097985735174
GO:0071675,regulation of mononuclear cell migration,45,5,0.12,0.000000158374374008
GO:1900044,regulation of protein K63-linked ubiquit...,19,4,0.05,0.000000202198552673
GO:0002690,positive regulation of leukocyte chemota...,48,5,0.13,0.000000220529835522
GO:0002688,regulation of leukocyte chemotaxis,49,5,0.14,0.000000245060431849
GO:1902527,positive regulation of protein monoubiqu...,20,4,0.06,0.000000252217874470
GO:0045595,regulation of cell differentiation,2154,21,5.94,0.000000260265419315
GO:0031114,regulation of microtubule depolymerizati...,50,5,0.14,0.000000271702199949
GO:0071621,granulocyte chemotaxis,52,5,0.14,0.000000331845568222
GO:0030595,leukocyte chemotaxis,99,6,0.27,0.000000334680692155
GO:0061945,regulation of protein K48-linked ubiquit...,22,4,0.06,0.000000379203369572
GO:0070424,regulation of nucleotide-binding oligome...,22,4,0.06,0.000000379203369572
GO:1902524,positive regulation of protein K48-linke...,22,4,0.06,0.000000379203369572
GO:0070373,negative regulation of ERK1 and ERK2 cas...,102,6,0.28,0.000000399553042142
GO:0031347,regulation of defense response,693,12,1.91,0.000000439098938376
GO:0043114,regulation of vascular permeability,55,5,0.15,0.000000441315131827
GO:1902525,regulation of protein monoubiquitination,23,4,0.06,0.000000458072683946
GO:0042402,cellular biogenic amine catabolic proces...,56,5,0.15,0.000000483536580367
GO:0071470,cellular response to osmotic stress,56,5,0.15,0.000000483536580367
GO:1901881,positive regulation of protein depolymer...,56,5,0.15,0.000000483536580367
GO:0009914,hormone transport,453,10,1.25,0.000000493140236252
GO:0009651,response to salt stress,57,5,0.16,0.000000528887794395
GO:0050891,multicellular organismal water homeostas...,57,5,0.16,0.000000528887794395
GO:0019441,tryptophan catabolic process to kynureni...,24,4,0.07,0.000000548534146083
GO:0097343,ripoptosome assembly,24,4,0.07,0.000000548534146083
GO:1901026,ripoptosome assembly involved in necropt...,24,4,0.07,0.000000548534146083
GO:0009266,response to temperature stimulus,360,9,0.99,0.000000684640845830
GO:0031110,regulation of microtubule polymerization...,180,7,0.5,0.000000689959039493
GO:0002687,positive regulation of leukocyte migrati...,63,5,0.17,0.000000876416515448
GO:0006569,tryptophan catabolic process,27,4,0.07,0.000000900275414379
GO:0042436,indole-containing compound catabolic pro...,27,4,0.07,0.000000900275414379
GO:0046218,indolalkylamine catabolic process,27,4,0.07,0.000000900275414379
GO:0007019,microtubule depolymerization,64,5,0.18,0.000000948640020823
GO:0060351,cartilage development involved in endoch...,65,5,0.18,0.000001025478380787
GO:0071674,mononuclear cell migration,123,6,0.34,0.000001204202309756
GO:0030104,water homeostasis,70,5,0.19,0.000001486487227740
GO:0006568,tryptophan metabolic process,33,4,0.09,0.000002072832561982
GO:0006586,indolalkylamine metabolic process,33,4,0.09,0.000002072832561982
GO:0009310,amine catabolic process,76,5,0.21,0.000002239895621440
GO:0048147,negative regulation of fibroblast prolif...,79,5,0.22,0.000002714834111307
GO:0043243,positive regulation of protein-containin...,82,5,0.23,0.000003265555350144
GO:0070189,kynurenine metabolic process,37,4,0.1,0.000003317593791691
GO:0043408,regulation of MAPK cascade,855,12,2.36,0.000003891624709039
GO:0030238,male sex determination,12,3,0.03,0.000004375645698641
GO:0009074,aromatic amino acid family catabolic pro...,40,4,0.11,0.000004561929099763
GO:0050921,positive regulation of chemotaxis,89,5,0.25,0.000004893295251864
GO:0035666,TRIF-dependent toll-like receptor signal...,41,4,0.11,0.000005044517571610
GO:0031112,positive regulation of microtubule polym...,91,5,0.25,0.000005458779701131
GO:0070509,calcium ion import,162,6,0.45,0.000005947956681622
GO:0003018,vascular process in circulatory system,95,5,0.26,0.000006742780346341
GO:0050729,positive regulation of inflammatory resp...,96,5,0.26,0.000007097948605879
GO:0002756,MyD88-independent toll-like receptor sig...,45,4,0.12,0.000007359816510182
GO:0006084,acetyl-CoA metabolic process,45,4,0.12,0.000007359816510182
GO:0042537,benzene-containing compound metabolic pr...,45,4,0.12,0.000007359816510182
GO:1902916,positive regulation of protein polyubiqu...,45,4,0.12,0.000007359816510182
GO:0042430,indole-containing compound metabolic pro...,46,4,0.13,0.000008043865215962
GO:0070507,regulation of microtubule cytoskeleton o...,265,7,0.73,0.000008906785940966
GO:0046330,positive regulation of JNK cascade,101,5,0.28,0.000009099431474213
GO:1902914,regulation of protein polyubiquitination,48,4,0.13,0.000009551276789697
GO:0002685,regulation of leukocyte migration,106,5,0.29,0.000011517205940765
GO:0097530,granulocyte migration,106,5,0.29,0.000011517205940765
GO:0031109,microtubule polymerization or depolymeri...,277,7,0.76,0.000011867859133496
GO:0070374,positive regulation of ERK1 and ERK2 cas...,184,6,0.51,0.000012308074013130
GO:0001816,cytokine production,518,9,1.43,0.000013146844292527
GO:0060326,cell chemotaxis,188,6,0.52,0.000013905877942485
GO:0009072,aromatic amino acid family metabolic pro...,54,4,0.15,0.000015329660804561
GO:0007530,sex determination,18,3,0.05,0.000016036696287254
GO:0039535,regulation of RIG-I signaling pathway,55,4,0.15,0.000016497374190658
GO:0031122,cytoplasmic microtubule organization,115,5,0.32,0.000017107398385286
GO:0097529,myeloid leukocyte migration,117,5,0.32,0.000018595857991524
GO:0030865,cortical cytoskeleton organization,118,5,0.33,0.000019376910714121
GO:0070534,protein K63-linked ubiquitination,119,5,0.33,0.000020183265640830
GO:0035872,nucleotide-binding domain, leucine rich ...,58,4,0.16,0.000020393997815593
GO:0070423,nucleotide-binding oligomerization domai...,58,4,0.16,0.000020393997815593
GO:0001666,response to hypoxia,418,8,1.15,0.000020593624131712
GO:0010817,regulation of hormone levels,698,10,1.93,0.000022377190173516
GO:0006026,aminoglycan catabolic process,123,5,0.34,0.000023673299704114
GO:0060350,endochondral bone morphogenesis,124,5,0.34,0.000024614923045589
GO:0010803,regulation of tumor necrosis factor-medi...,61,4,0.17,0.000024927575854028
GO:0050920,regulation of chemotaxis,125,5,0.34,0.000025585402090134
GO:0046879,hormone secretion,432,8,1.19,0.000026041820951981
GO:0033865,nucleoside bisphosphate metabolic proces...,211,6,0.58,0.000026665439297508
GO:0033875,ribonucleoside bisphosphate metabolic pr...,211,6,0.58,0.000026665439297508
GO:0034032,purine nucleoside bisphosphate metabolic...,211,6,0.58,0.000026665439297508
GO:0036293,response to decreased oxygen levels,441,8,1.22,0.000030145948237386
GO:0039531,regulation of viral-induced cytoplasmic ...,64,4,0.18,0.000030160023200164
GO:0001817,regulation of cytokine production,443,8,1.22,0.000031127987750981
GO:0023056,positive regulation of signaling,2044,17,5.64,0.000035668500688479
GO:0031532,actin cytoskeleton reorganization,226,6,0.62,0.000039151429319129
GO:0051881,regulation of mitochondrial membrane pot...,69,4,0.19,0.000040608656710889
GO:0006576,cellular biogenic amine metabolic proces...,138,5,0.38,0.000041118335469788
GO:0032874,positive regulation of stress-activated ...,138,5,0.38,0.000041118335469788
GO:0070304,positive regulation of stress-activated ...,138,5,0.38,0.000041118335469788
GO:0009408,response to heat,232,6,0.64,0.000045298865772540
GO:0010647,positive regulation of cell communicatio...,2086,17,5.76,0.000046069261741535
GO:0039529,RIG-I signaling pathway,72,4,0.2,0.000048023289283341
GO:0070482,response to oxygen levels,472,8,1.3,0.000048669049225718
GO:0034605,cellular response to heat,143,5,0.39,0.000048727320839898
GO:0048144,fibroblast proliferation,144,5,0.4,0.000050371617068087
GO:0048145,regulation of fibroblast proliferation,144,5,0.4,0.000050371617068087
GO:1902533,positive regulation of intracellular sig...,935,11,2.58,0.000051456332835499
GO:0060349,bone morphogenesis,146,5,0.4,0.000053788699700195
GO:0070588,calcium ion transmembrane transport,355,7,0.98,0.000057706900257266
GO:0032886,regulation of microtubule-based process,364,7,1,0.000067509442593098
GO:0001819,positive regulation of cytokine producti...,250,6,0.69,0.000068512768576387
GO:0043409,negative regulation of MAPK cascade,365,7,1.01,0.000068677887419134
GO:0032101,regulation of response to external stimu...,1145,12,3.16,0.000069531682512569
GO:1902531,regulation of intracellular signal trans...,2409,18,6.65,0.000081849455417409
GO:0039528,cytoplasmic pattern recognition receptor...,83,4,0.23,0.000083826788187006
GO:0060546,negative regulation of necroptotic proce...,83,4,0.23,0.000083826788187006
GO:0060547,negative regulation of necrotic cell dea...,83,4,0.23,0.000083826788187006
GO:0062099,negative regulation of programmed necrot...,83,4,0.23,0.000083826788187006
GO:0007204,positive regulation of cytosolic calcium...,388,7,1.07,0.00010
GO:0001501,skeletal system development,842,10,2.32,0.00011
GO:0006970,response to osmotic stress,170,5,0.47,0.00011
GO:0030208,dermatan sulfate biosynthetic process,6,2,0.02,0.00011
GO:1901879,regulation of protein depolymerization,171,5,0.47,0.00011
GO:0044106,cellular amine metabolic process,173,5,0.48,0.00012
GO:1901222,regulation of NIK/NF-kappaB signaling,92,4,0.25,0.00013
GO:0000165,MAPK cascade,1220,12,3.37,0.00013
GO:0060544,regulation of necroptotic process,95,4,0.26,0.00014
GO:0062098,regulation of programmed necrotic cell d...,95,4,0.26,0.00014
GO:1901565,organonitrogen compound catabolic proces...,1847,15,5.1,0.00014
GO:0006637,acyl-CoA metabolic process,96,4,0.26,0.00015
GO:0035383,thioester metabolic process,96,4,0.26,0.00015
GO:0009308,amine metabolic process,183,5,0.5,0.00016
GO:0050651,dermatan sulfate proteoglycan biosynthet...,7,2,0.02,0.00016
GO:1901621,negative regulation of smoothened signal...,7,2,0.02,0.00016
GO:0070936,protein K48-linked ubiquitination,98,4,0.27,0.00016
GO:0043410,positive regulation of MAPK cascade,426,7,1.18,0.00018
GO:0023061,signal release,730,9,2.01,0.00018
GO:0048705,skeletal system morphogenesis,300,6,0.83,0.00019
GO:0050900,leukocyte migration,300,6,0.83,0.00019
GO:0006032,chitin catabolic process,40,3,0.11,0.00019
GO:0070266,necroptotic process,102,4,0.28,0.00019
GO:0009628,response to abiotic stimulus,2112,16,5.83,0.00019
GO:0050793,regulation of developmental process,3814,23,10.52,0.00019
GO:0045596,negative regulation of cell differentiat...,905,10,2.5,0.00019
GO:0014074,response to purine-containing compound,304,6,0.84,0.00020
GO:0098586,cellular response to virus,104,4,0.29,0.00020
GO:0001959,regulation of cytokine-mediated signalin...,105,4,0.29,0.00021
GO:1901072,glucosamine-containing compound cataboli...,42,3,0.12,0.00022
GO:0010939,regulation of necrotic cell death,106,4,0.29,0.00022
GO:0006952,defense response,1921,15,5.3,0.00022
GO:0033209,tumor necrosis factor-mediated signaling...,107,4,0.3,0.00022
GO:0007601,visual perception,311,6,0.86,0.00022
GO:0031349,positive regulation of defense response,312,6,0.86,0.00023
GO:0000209,protein polyubiquitination,444,7,1.23,0.00023
GO:0034121,regulation of toll-like receptor signali...,110,4,0.3,0.00025
GO:0048871,multicellular organismal homeostasis,454,7,1.25,0.00026
GO:0060759,regulation of response to cytokine stimu...,112,4,0.31,0.00027
GO:0030154,cell differentiation,7062,34,19.49,0.00029
GO:0043244,regulation of protein-containing complex...,210,5,0.58,0.00029
GO:0097300,programmed necrotic cell death,115,4,0.32,0.00029
GO:0006513,protein monoubiquitination,117,4,0.32,0.00031
GO:0097340,inhibition of cysteine-type endopeptidas...,117,4,0.32,0.00031
GO:0097341,zymogen inhibition,117,4,0.32,0.00031
GO:1990001,inhibition of cysteine-type endopeptidas...,117,4,0.32,0.00031
GO:0009967,positive regulation of signal transducti...,1767,14,4.88,0.00032
GO:0050953,sensory perception of light stimulus,332,6,0.92,0.00032
GO:0006030,chitin metabolic process,48,3,0.13,0.00032
GO:0048869,cellular developmental process,7098,34,19.59,0.00032
GO:1901620,regulation of smoothened signaling pathw...,10,2,0.03,0.00033
GO:0023051,regulation of signaling,4780,26,13.19,0.00033
GO:0002753,cytoplasmic pattern recognition receptor...,119,4,0.33,0.00034
GO:0051261,protein depolymerization,217,5,0.6,0.00034
GO:0010646,regulation of cell communication,4788,26,13.21,0.00034
GO:0061003,positive regulation of dendritic spine m...,50,3,0.14,0.00036
