"count" "condition" "gene" "sample"
40.1630505733029 "control" "LOC117680673" "T55"
34.3878456727538 "control" "LOC117680673" "T56"
67.4484815301621 "control" "LOC117680673" "T57"
144.074380478343 "control" "LOC117680673" "T58"
106.001164733142 "control" "LOC117680673" "T59"
79.7635327370237 "control" "LOC117680673" "T60"
44.7929090817189 "control" "LOC117680673" "T61"
19.1576090842807 "control" "LOC117680673" "X45"
16.8832156065005 "control" "LOC117680673" "X46"
93.8472308763748 "control" "LOC117680673" "X47"
53.5504702102258 "control" "LOC117680673" "X48"
13686.8086202151 "desiccation" "LOC117680673" "R51"
218.873443501868 "desiccation" "LOC117680673" "R52"
1281.36796980454 "desiccation" "LOC117680673" "R54"
6983.17644746025 "desiccation" "LOC117680673" "R55"
188.248314960163 "desiccation" "LOC117680673" "R56"
42919.1397177529 "desiccation" "LOC117680673" "R57"
2385.95186284321 "desiccation" "LOC117680673" "R58"
23330.9237224523 "desiccation" "LOC117680673" "R59"
129478.391848905 "desiccation" "LOC117680673" "R60"
513.333556883571 "desiccation" "LOC117680673" "R61"
49.1773802490536 "control" "LOC105334510" "T55"
40.1971906452259 "control" "LOC105334510" "T56"
72.5983647247899 "control" "LOC105334510" "T57"
131.884102890559 "control" "LOC105334510" "T58"
101.890729743539 "control" "LOC105334510" "T59"
76.93269228213 "control" "LOC105334510" "T60"
34.5106266163198 "control" "LOC105334510" "T61"
21.1215679352576 "control" "LOC105334510" "X45"
21.5641343512149 "control" "LOC105334510" "X46"
88.1153833664219 "control" "LOC105334510" "X47"
60.6238662382559 "control" "LOC105334510" "X48"
12988.3459842205 "desiccation" "LOC105334510" "R51"
210.328395712664 "desiccation" "LOC105334510" "R52"
1209.19352642753 "desiccation" "LOC105334510" "R54"
6220.41255041588 "desiccation" "LOC105334510" "R55"
195.631675660843 "desiccation" "LOC105334510" "R56"
38707.8178129265 "desiccation" "LOC105334510" "R57"
2241.94575273821 "desiccation" "LOC105334510" "R58"
22691.7902750196 "desiccation" "LOC105334510" "R59"
128721.878729492 "desiccation" "LOC105334510" "R60"
498.042648077409 "desiccation" "LOC105334510" "R61"
34.7544527678525 "control" "LOC105348304" "T55"
34.3878456727538 "control" "LOC105348304" "T56"
52.8571458120498 "control" "LOC105348304" "T57"
137.302004040685 "control" "LOC105348304" "T58"
104.631019736608 "control" "LOC105348304" "T59"
78.8199192520592 "control" "LOC105348304" "T60"
33.7196818112891 "control" "LOC105348304" "T61"
18.1756296587923 "control" "LOC105348304" "X45"
17.6633687306195 "control" "LOC105348304" "X46"
87.2965480078573 "control" "LOC105348304" "X47"
55.9082688862359 "control" "LOC105348304" "X48"
12160.8679568639 "desiccation" "LOC105348304" "R51"
211.27784546702 "desiccation" "LOC105348304" "R52"
1314.25758957127 "desiccation" "LOC105348304" "R54"
6270.47813439177 "desiccation" "LOC105348304" "R55"
193.522144032077 "desiccation" "LOC105348304" "R56"
44354.3308043418 "desiccation" "LOC105348304" "R57"
2188.64478990714 "desiccation" "LOC105348304" "R58"
19463.2767793156 "desiccation" "LOC105348304" "R59"
104973.409932057 "desiccation" "LOC105348304" "R60"
533.329360707012 "desiccation" "LOC105348304" "R61"
39.2616176057278 "control" "LOC105348305" "T55"
33.4196215106752 "control" "LOC105348305" "T56"
58.0070290066777 "control" "LOC105348305" "T57"
138.656479328217 "control" "LOC105348305" "T58"
111.481744719279 "control" "LOC105348305" "T59"
80.7071462219883 "control" "LOC105348305" "T60"
33.7196818112891 "control" "LOC105348305" "T61"
20.1395885097692 "control" "LOC105348305" "X45"
18.4435218547386 "control" "LOC105348305" "X46"
86.4777126492926 "control" "LOC105348305" "X47"
53.5504702102258 "control" "LOC105348305" "X48"
11901.94741282 "desiccation" "LOC105348305" "R51"
203.682247432173 "desiccation" "LOC105348305" "R52"
1307.86238572774 "desiccation" "LOC105348305" "R54"
5681.47126408723 "desiccation" "LOC105348305" "R55"
198.795973103992 "desiccation" "LOC105348305" "R56"
39927.9444441519 "desiccation" "LOC105348305" "R57"
2164.33207001928 "desiccation" "LOC105348305" "R58"
20898.931996354 "desiccation" "LOC105348305" "R59"
110815.123664804 "desiccation" "LOC105348305" "R60"
502.747543094689 "desiccation" "LOC105348305" "R61"
14.9229274812011 "control" "LOC105322484" "T55"
20.8327074036523 "control" "LOC105322484" "T56"
21.0995327785114 "control" "LOC105322484" "T57"
19.4626540254415 "control" "LOC105322484" "T58"
49.8252198752352 "control" "LOC105322484" "T59"
26.9211775790079 "control" "LOC105322484" "T60"
17.1098409056446 "control" "LOC105322484" "T61"
17.1936502333038 "control" "LOC105322484" "X45"
41.0679624541917 "control" "LOC105322484" "X46"
18.5143778884232 "control" "LOC105322484" "X47"
28.7935841121204 "control" "LOC105322484" "X48"
461.39636362446 "desiccation" "LOC105322484" "R51"
142.917463153392 "desiccation" "LOC105322484" "R52"
319.34659162752 "desiccation" "LOC105322484" "R54"
271.443160340086 "desiccation" "LOC105322484" "R55"
137.619555869782 "desiccation" "LOC105322484" "R56"
3480.08865829097 "desiccation" "LOC105322484" "R57"
591.486114197142 "desiccation" "LOC105322484" "R58"
2448.91485536852 "desiccation" "LOC105322484" "R59"
6249.56695089187 "desiccation" "LOC105322484" "R60"
139.294403009774 "desiccation" "LOC105322484" "R61"
16.7257934163512 "control" "LOC105346578" "T55"
54.7205530764062 "control" "LOC105346578" "T56"
41.6990655570228 "control" "LOC105346578" "T57"
73.6416655267031 "control" "LOC105346578" "T58"
166.287544580652 "control" "LOC105346578" "T59"
44.8498337933347 "control" "LOC105346578" "T60"
91.4586525785298 "control" "LOC105346578" "T61"
46.6530329979576 "control" "LOC105346578" "X45"
15.3229093582623 "control" "LOC105346578" "X46"
151.984541334468 "control" "LOC105346578" "X47"
46.4770741821957 "control" "LOC105346578" "X48"
754.127837818374 "desiccation" "LOC105346578" "R51"
94.4955256812388 "desiccation" "LOC105346578" "R52"
569.673142074341 "desiccation" "LOC105346578" "R54"
1251.15792127996 "desiccation" "LOC105346578" "R55"
64.8407146773591 "desiccation" "LOC105346578" "R56"
7706.8335121076 "desiccation" "LOC105346578" "R57"
658.813646194285 "desiccation" "LOC105346578" "R58"
6465.73855604297 "desiccation" "LOC105346578" "R59"
11538.4441732978 "desiccation" "LOC105346578" "R60"
259.269225950425 "desiccation" "LOC105346578" "R61"
142.92640887686 "control" "LOC105321886" "T55"
164.129883391297 "control" "LOC105321886" "T56"
216.79509417437 "control" "LOC105321886" "T57"
169.809410941442 "control" "LOC105321886" "T58"
241.645519390039 "control" "LOC105321886" "T59"
88.2560541017048 "control" "LOC105321886" "T60"
171.34407788663 "control" "LOC105321886" "T61"
167.436502333038 "control" "LOC105321886" "X45"
134.68633734848 "control" "LOC105321886" "X46"
272.353339043477 "control" "LOC105321886" "X47"
296.40373383926 "control" "LOC105321886" "X48"
1571.81849065791 "desiccation" "LOC105321886" "R51"
272.992079500157 "desiccation" "LOC105321886" "R52"
1071.23984351706 "desiccation" "LOC105321886" "R54"
2309.40693159377 "desiccation" "LOC105321886" "R55"
479.363679729853 "desiccation" "LOC105321886" "R56"
8289.4782517377 "desiccation" "LOC105321886" "R57"
1199.30411139357 "desiccation" "LOC105321886" "R58"
